,0,1
0,5.49413,3.035005
1,2.3848362,5.352898
2,3.0452054,3.568782
3,7.4468646,4.406765
4,2.550261,6.4025474
5,2.94917,7.2650437
6,3.9597769,6.1413565
7,5.7870297,6.752253
8,3.3907356,3.9043925
9,5.256898,5.545923
10,6.2376614,4.718442
11,5.929145,4.6856318
12,6.6114516,4.2569175
13,8.283581,6.8648314
14,6.567028,6.292229
15,3.2350905,6.017859
16,2.8646605,4.9827843
17,5.052437,5.8607707
18,8.791848,5.5502753
19,7.9896455,6.9136705
20,6.686307,6.5139694
21,7.8083034,5.537688
22,4.7525034,4.806303
23,2.5853024,6.26905
24,2.727045,6.153407
25,7.572523,4.8003573
26,6.7587533,4.8478227
27,3.745866,4.167026
28,4.9927087,4.451523
29,2.6664748,4.006977
30,5.959291,4.5133467
31,6.110571,5.796693
32,2.842952,5.9436846
33,3.8240066,6.131582
34,7.502268,4.8123345
35,7.957617,4.6774945
36,9.147829,5.6138597
37,4.031472,3.7338283
38,5.865752,5.925551
39,4.12673,3.926553
40,5.451121,5.529173
41,2.4146664,4.434033
42,3.3434658,6.7991047
43,4.1489196,3.5359094
44,5.7018642,6.700709
45,4.1034174,4.516535
46,2.294846,5.2703342
47,5.3189793,5.1253285
48,5.0814104,8.134823
49,7.36468,7.043894
50,4.2049484,7.204921
51,4.7147717,4.5846806
52,4.929702,6.6495585
53,5.319881,6.208061
54,3.0792527,6.4636126
55,2.9247239,6.287006
56,4.20896,4.148181
57,3.233628,4.387657
58,4.6340137,7.812547
59,6.361238,4.2210817
60,7.792463,4.227599
61,8.573728,6.8774385
62,8.457163,5.7674713
63,5.5092955,8.459719
64,2.2825305,5.4242635
65,3.213681,3.78067
66,3.8062851,4.3983407
67,5.7532234,4.911761
68,8.287831,5.9434457
69,6.3922143,6.550716
70,4.144216,6.2249346
71,6.126224,7.00375
72,6.995393,7.0535684
73,5.453534,7.5600166
74,7.343253,7.3187137
75,4.2570834,8.161662
76,4.5029273,6.209523
77,4.848066,4.0687146
78,5.771668,6.1745944
79,6.585909,7.823414
80,6.7248793,5.381562
81,5.6503,6.7284603
82,6.494585,7.85688
83,7.2485576,7.1107917
84,4.3995347,3.983636
85,7.5028925,5.465416
86,5.4649844,7.7105327
87,4.3399568,4.17421
88,3.5425124,3.7137218
89,7.7980022,6.993621
90,4.296277,4.728883
91,3.7552364,6.4143124
92,6.8885226,6.6361675
93,5.1997533,7.914299
94,3.681615,7.2380233
95,5.991555,3.9568653
96,6.5992146,4.948704
97,4.5981135,4.8974614
98,2.3838904,4.772396
99,5.5431113,6.738018
100,5.4140687,7.64171
101,6.653485,5.491963
102,8.296526,4.6388826
103,6.8210344,7.0390673
104,6.6210966,6.509483
105,7.7414417,5.8103967
106,7.9392095,4.831716
107,6.2139544,7.4627104
108,7.2833714,5.077566
109,2.653755,6.5909634
110,3.3549426,7.6190863
