,0,1
0,8.705808,-0.57086027
1,9.9810295,-2.2075086
2,8.064534,1.1594746
3,7.5713835,-1.0793177
4,7.5776653,-1.1428913
5,8.144751,-2.0652964
6,7.7307663,-3.1296563
7,8.440769,-2.5307715
8,7.943682,1.0815623
9,8.502046,1.8677877
10,8.641835,2.649813
11,8.290876,1.476906
12,9.244909,2.1969151
13,9.2011795,1.877912
14,9.177428,1.9258583
15,-5.5262594,3.129553
16,-5.505864,3.1055446
17,-5.476361,3.0827267
18,-5.2449617,2.9176028
19,-3.0513163,3.1714556
20,10.586595,-0.48924637
21,-3.0938776,3.1494672
22,-3.9972954,2.504971
23,7.9057083,-1.3186014
24,9.517609,-2.3916857
25,9.540428,-2.8868134
26,9.802077,-1.1862646
27,7.6160383,-2.2009168
28,7.38745,0.5049343
29,9.5725765,-0.8388952
30,8.69473,-0.8049194
31,9.495877,-2.2815318
32,7.913989,0.9215421
33,7.8758397,0.5843122
34,8.113962,1.0716299
35,7.646303,0.32292745
36,7.9385543,0.5371183
37,9.434258,-1.5777028
38,8.240432,1.8160928
39,8.755918,-0.032912556
40,8.923281,-0.3542528
41,10.186197,-1.0432315
42,9.950187,-1.3916233
43,8.977424,-1.8894451
44,8.891486,-1.2757093
45,8.00107,-0.66750103
46,8.432224,-1.1098082
47,8.144026,-0.5451053
48,-4.8453913,2.8350506
49,-5.384584,3.0041635
50,-5.452782,3.067095
51,9.018315,2.1304061
52,8.772907,2.0299444
53,8.51277,2.2818294
54,8.219515,-1.3356857
55,9.430316,-2.5290473
56,9.65641,-0.87318456
57,9.780004,-1.0901712
58,7.3441153,-0.6692243
59,9.40631,-1.1952611
60,7.2275033,-2.0046523
61,8.837818,-0.7329126
62,9.776438,-0.6793551
63,7.310992,-0.4399813
64,7.9769306,-0.4508033
65,8.190956,1.0434909
66,7.6992407,0.10700198
67,7.3645473,-0.11857386
68,8.737555,-0.3859275
69,7.5527506,-0.6915365
70,7.5959125,-0.04770179
71,10.133715,-0.81570804
72,8.007822,-3.0169678
73,10.085161,-1.5784527
74,9.23717,-1.9554822
75,9.840223,-1.078271
76,7.2802234,-2.6360033
77,9.277561,-0.3211556
78,8.1706915,-0.22955087
79,7.9424057,0.3469908
80,8.670844,0.42283025
81,7.732948,0.30057847
82,9.313923,-1.4261765
83,7.5067797,0.33815914
84,7.946926,1.3212005
85,7.2335796,-0.13560839
