,0,1
0,5.5201745,2.778329
1,2.3750985,5.278705
2,3.0249815,3.1919327
3,7.4700212,3.9463477
4,2.5108266,6.1161513
5,3.218555,7.3539305
6,4.1090665,6.3174615
7,6.013357,6.5326834
8,3.427769,3.7632568
9,5.0956807,5.400772
10,6.1377244,4.286583
11,5.9684334,4.2090697
12,6.8304296,4.056036
13,8.2961645,6.5844746
14,6.8166356,5.9349775
15,3.326827,5.7652564
16,2.8589149,4.925957
17,5.515646,5.0484486
18,8.7611265,5.102323
19,8.277778,6.6211777
20,7.0315347,6.3626666
21,7.9452887,5.2305183
22,5.2076964,4.976403
23,2.56689,6.2164392
24,2.767392,5.9027586
25,7.645484,4.412944
26,5.9664216,4.808794
27,4.205899,4.3110237
28,4.6733727,4.707671
29,2.6401808,3.984989
30,6.044479,4.4242997
31,6.076061,5.941722
32,2.870208,5.6315384
33,4.3036647,5.6105375
34,7.571408,4.599292
35,7.79469,4.5359526
36,9.159857,5.201059
37,3.694956,3.4092078
38,5.9494743,5.6493273
39,4.080193,3.8926146
40,5.235395,5.9717126
41,2.1991205,4.465229
42,3.1485946,6.6989584
43,3.9009278,3.1527274
44,6.8870893,5.6146455
45,4.0904665,4.6326213
46,2.2535918,5.0599427
47,5.332972,4.6725526
48,4.62917,8.040605
49,7.6655393,6.7270904
50,4.5350413,7.0084524
51,4.4022202,4.280169
52,5.0587864,6.238756
53,5.2483134,6.2345786
54,2.8540864,6.1221747
55,3.197436,6.566802
56,3.8895524,3.7725751
57,3.1936634,4.066584
58,4.307128,7.4277844
59,6.4604864,3.9835465
60,7.6015396,3.9965823
61,8.583284,6.6488233
62,8.33911,5.5419364
63,5.4372764,8.230779
64,2.1610167,4.9083276
65,3.4076262,3.5630498
66,3.4615366,4.0293055
67,6.006506,4.8331757
68,8.373399,5.51007
69,6.373476,5.803931
70,3.9811358,6.256812
71,6.059362,7.052772
72,7.2550125,6.9727926
73,5.775998,7.3084693
74,7.4057407,7.0838876
75,4.305871,7.8278394
76,4.554382,5.477258
