,nose_x,nose_y,nose_z,left_eye_x,left_eye_y,left_eye_z,right_eye_x,right_eye_y,right_eye_z,left_ear_x,left_ear_y,left_ear_z,right_ear_x,right_ear_y,right_ear_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,right_elbow_x,right_elbow_y,right_elbow_z,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z,left_hip_x,left_hip_y,left_hip_z,right_hip_x,right_hip_y,right_hip_z,left_knee_x,left_knee_y,left_knee_z,right_knee_x,right_knee_y,right_knee_z,left_ankle_x,left_ankle_y,left_ankle_z,right_ankle_x,right_ankle_y,right_ankle_z
330,11,8,12,13,10,14,9,7,11,16,8,18,8,7,8,17,17,16,15,13,13,7,11,12,19,13,11,14,11,15,9,14,8,14,13,12,10,18,13,7,15,7,13,14,12,9,19,11,12,14,14
331,16,14,19,15,7,15,11,11,11,12,13,16,8,12,14,11,10,11,10,8,8,17,15,17,11,19,15,12,9,11,10,11,12,9,16,15,14,13,10,11,10,15,14,9,12,13,11,13,14,15,17
332,11,13,11,8,10,8,10,14,8,18,19,18,14,17,15,14,16,14,12,19,10,10,13,14,10,12,13,9,9,11,10,12,11,14,16,17,7,13,9,14,18,16,10,15,15,10,13,15,12,13,15
333,11,13,13,12,14,10,11,15,9,14,15,14,14,11,18,11,10,9,13,12,13,11,14,19,9,12,13,7,8,11,11,9,8,12,15,14,17,17,15,14,14,12,17,15,17,14,15,14,12,13,15
334,14,13,12,12,19,13,14,14,19,16,15,11,19,11,14,17,20,17,9,17,13,13,12,15,9,13,12,7,13,7,7,9,9,15,14,17,7,9,9,15,21,20,8,13,12,14,13,14,9,10,6
335,13,11,13,12,14,12,14,14,14,13,17,11,9,14,9,14,12,10,15,15,13,13,19,14,15,11,13,14,16,14,12,11,11,15,15,15,10,8,17,15,15,15,19,14,18,11,16,10,13,15,16
336,12,11,14,13,13,11,11,12,9,11,12,13,17,17,11,14,7,10,15,17,11,19,12,14,14,18,16,12,16,15,16,14,12,8,20,14,11,15,14,11,13,13,16,12,15,13,18,14,15,19,13
337,19,14,18,12,9,14,14,12,16,16,13,16,15,16,17,9,11,10,10,14,10,18,14,18,15,13,15,11,20,11,6,12,10,14,20,17,13,9,9,12,10,15,16,16,16,12,14,11,13,13,11
338,12,14,16,13,11,15,14,10,15,14,11,15,15,7,12,14,13,17,13,14,12,14,15,11,9,9,17,15,15,12,16,17,15,19,16,15,13,20,21,14,16,16,11,15,13,9,11,12,16,15,14
339,10,10,12,13,6,11,10,12,12,15,9,13,15,18,15,11,15,11,9,14,12,13,19,17,12,10,15,13,20,14,14,17,20,14,16,15,10,13,13,12,12,13,11,15,10,16,19,19,10,15,10
340,10,11,7,13,14,15,17,15,16,11,15,9,17,16,20,10,13,8,12,12,11,16,16,13,12,19,18,12,14,12,15,9,14,15,15,16,12,19,15,18,20,16,10,10,9,12,12,15,13,15,11
341,13,16,16,18,14,16,16,15,18,14,11,13,16,10,14,13,10,13,16,19,19,16,14,19,12,15,12,15,12,18,13,13,15,18,20,17,11,15,13,12,17,15,17,11,15,9,11,11,16,15,12
342,15,10,15,14,14,14,12,14,14,13,13,19,15,18,14,13,13,11,18,15,14,15,19,16,14,14,15,11,15,12,13,15,15,8,10,12,15,17,13,10,17,13,17,18,18,13,11,10,17,20,16
343,12,10,14,14,12,14,15,11,13,13,13,15,9,10,12,9,8,10,7,11,13,7,15,14,10,10,9,12,14,18,14,16,14,11,12,10,11,9,9,9,9,11,16,17,17,14,16,17,11,18,13
344,15,11,14,14,12,14,20,17,20,13,15,8,13,10,19,17,13,14,4,12,8,15,14,12,13,13,14,13,15,11,13,16,16,11,13,11,13,15,15,13,15,17,17,15,17,16,20,11,20,17,18
345,14,12,13,15,15,17,12,7,10,14,14,12,16,12,11,19,18,13,15,15,12,13,12,15,19,13,16,13,15,13,13,12,10,9,11,11,13,12,14,13,9,15,16,14,12,13,10,12,14,21,15
346,8,14,5,12,13,9,14,12,16,12,10,8,10,11,10,8,10,6,13,12,13,17,10,19,17,10,20,15,11,10,18,16,17,6,15,6,14,18,10,14,12,12,12,11,13,10,12,6,12,10,15
347,9,9,14,11,15,12,9,13,13,16,7,14,21,6,14,12,14,12,8,14,12,11,12,9,15,15,14,14,16,14,13,14,11,7,13,8,7,13,6,14,14,10,11,13,11,14,15,14,8,5,8
348,15,16,19,15,12,11,14,10,14,12,6,10,15,8,15,13,9,11,11,9,11,17,12,17,13,8,17,13,9,11,19,13,18,8,12,9,8,10,8,13,15,17,18,15,18,10,13,8,17,12,16
349,12,11,10,16,10,13,12,11,10,12,3,12,13,8,11,15,14,16,9,14,10,15,13,17,12,14,10,8,14,12,8,16,8,16,10,12,14,14,16,16,11,18,10,11,8,13,16,14,16,9,17
350,13,13,13,15,11,15,12,13,10,18,14,16,12,17,12,11,13,9,16,11,14,18,7,16,15,12,14,9,4,13,16,14,12,12,19,12,14,17,12,14,12,14,9,13,11,10,8,11,11,12,12
351,16,11,16,11,12,8,14,10,11,14,11,18,15,14,17,8,10,10,12,11,14,9,14,15,11,13,14,11,16,11,10,13,9,12,9,10,19,14,15,13,18,12,15,10,13,13,14,17,17,13,19
352,10,7,7,14,13,13,15,7,13,11,13,9,10,12,8,15,9,17,11,9,9,15,12,15,14,6,14,18,17,17,8,10,10,11,10,12,13,15,16,10,17,9,11,14,16,11,14,12,13,10,15
353,11,11,9,13,12,9,7,8,11,10,15,9,11,12,8,14,13,10,15,12,12,13,17,18,13,12,15,13,12,16,16,16,14,12,8,15,9,10,6,13,11,12,15,12,10,14,9,9,7,7,7
354,8,7,5,12,10,5,8,11,6,15,8,15,12,9,12,18,6,14,16,7,15,18,16,16,9,12,10,14,14,14,11,13,13,19,16,19,18,13,13,17,9,16,13,11,12,10,12,12,13,13,7
355,14,20,15,12,11,12,14,13,13,17,10,7,14,9,12,16,14,16,11,13,13,13,6,14,11,13,16,11,15,11,19,7,15,14,14,15,14,17,18,15,13,17,14,16,14,12,13,8,13,13,15
356,10,13,8,17,11,13,12,12,14,15,12,13,14,11,13,9,9,12,15,11,8,16,12,13,18,17,15,15,16,12,12,18,13,14,17,18,14,13,14,18,15,12,21,14,9,8,9,15,5,10,12
357,14,13,12,18,13,10,12,13,15,16,11,8,15,14,8,17,19,18,8,5,18,15,13,14,13,8,13,6,10,9,14,13,13,13,16,15,14,18,10,14,15,14,17,13,12,14,13,13,10,15,17
358,11,11,9,14,15,13,12,15,14,15,11,14,12,12,6,18,16,16,17,17,13,13,17,13,10,17,13,17,15,17,13,17,6,15,14,11,15,9,20,14,14,13,16,15,15,11,9,13,8,14,17
359,19,10,19,13,13,14,15,14,11,17,12,16,13,13,15,14,18,13,18,10,17,16,15,16,8,12,8,15,13,15,14,11,16,15,12,16,17,14,12,18,12,13,16,9,17,18,14,10,13,15,17
360,10,16,14,22,22,18,14,18,16,13,18,12,15,10,13,13,11,12,15,12,14,12,13,14,13,19,13,18,16,19,16,11,14,17,17,16,16,16,11,16,15,21,13,21,18,11,14,9,17,15,19
361,10,14,12,12,19,16,10,16,12,10,14,13,12,11,11,11,15,19,9,12,16,15,12,11,16,17,12,13,16,15,11,16,9,11,15,9,10,10,13,10,13,16,10,11,16,17,14,11,14,13,17
362,10,8,8,8,8,8,13,13,11,13,12,13,16,16,15,10,17,11,12,15,14,15,9,16,18,17,16,16,19,16,9,17,11,15,13,12,12,13,12,12,20,12,14,16,12,10,19,18,16,13,15
363,11,19,15,13,13,13,16,14,10,13,12,19,6,17,16,11,14,14,17,16,17,11,14,12,6,15,8,17,19,17,20,15,22,17,15,15,12,14,6,11,13,11,11,15,10,11,11,14,14,13,14
364,14,12,18,9,12,11,16,18,19,12,14,14,16,15,14,12,15,11,11,9,13,12,20,12,7,15,11,15,17,17,9,9,9,12,13,17,9,13,17,13,18,17,12,12,14,10,11,12,12,17,14
365,14,10,10,14,8,12,9,14,9,16,12,12,14,14,8,12,11,8,16,12,20,16,15,13,14,11,14,16,23,16,14,14,14,12,14,17,19,11,12,16,16,12,16,16,13,19,17,15,13,16,17
366,10,8,12,14,11,10,12,12,12,17,12,18,13,16,10,21,20,21,15,10,13,13,16,18,13,9,13,18,17,16,15,16,17,13,12,12,14,16,17,16,23,16,19,15,18,10,12,10,12,13,13
367,10,13,12,16,19,12,12,18,13,14,22,16,11,11,14,6,18,8,17,12,15,14,11,15,16,16,16,16,17,12,16,8,14,8,13,11,19,14,12,10,15,13,16,18,18,13,14,12,11,14,13
368,11,9,12,8,12,12,14,10,15,12,13,10,12,14,11,12,8,11,12,11,12,9,20,12,13,14,15,9,18,8,16,16,16,11,16,13,13,16,10,15,12,13,12,15,12,8,11,16,18,12,15
369,14,12,13,17,10,15,15,16,12,15,14,13,17,18,9,14,22,14,15,9,15,17,17,14,14,16,19,13,16,13,15,13,15,12,11,14,10,11,9,15,9,15,13,17,17,14,10,14,9,15,8
370,13,14,8,16,17,16,8,10,8,13,18,18,9,18,15,10,13,12,15,10,17,16,14,14,16,14,20,15,16,15,12,12,13,15,16,12,14,15,14,17,15,19,15,14,12,13,13,11,11,16,13
371,11,14,17,15,16,16,15,18,12,13,11,12,11,16,9,17,19,17,15,11,14,17,15,16,8,11,10,16,13,18,15,17,13,11,15,11,9,15,15,11,11,12,13,16,14,10,9,14,13,15,11
372,12,16,10,13,12,12,11,11,11,18,15,9,16,14,11,19,14,13,15,14,10,15,12,15,12,15,10,22,20,21,12,15,12,15,16,9,12,14,13,16,12,11,14,15,12,15,13,10,17,12,15
373,14,21,16,12,13,10,9,15,9,14,10,14,14,12,16,18,19,16,14,16,14,15,18,15,12,11,10,17,15,11,14,9,16,9,9,13,14,11,19,12,12,13,15,12,14,11,7,14,14,17,12
374,15,16,15,15,14,19,16,10,15,16,18,14,12,10,15,19,16,14,19,11,20,16,15,18,9,12,13,17,12,13,7,19,7,9,11,15,15,17,18,11,14,11,14,19,14,15,13,15,14,17,17
375,11,9,9,8,14,11,16,14,12,18,16,18,11,14,8,9,13,11,14,16,15,17,13,14,8,10,10,9,13,11,15,13,19,18,16,16,18,14,16,23,13,17,13,11,9,13,11,15,13,10,14
376,15,12,15,12,9,9,11,12,14,15,10,16,12,14,13,18,16,14,15,12,15,10,13,8,12,15,10,14,17,8,5,16,9,16,17,21,14,16,11,12,11,18,11,14,15,15,17,15,5,13,7
377,13,16,17,21,18,21,15,13,14,19,13,16,13,12,11,14,13,14,19,19,19,18,14,19,15,12,15,13,19,16,14,14,16,14,12,9,15,13,14,18,13,16,18,12,18,14,15,10,13,14,14
378,11,12,9,15,12,18,9,14,12,12,10,16,16,19,14,18,12,16,15,17,11,13,15,15,15,17,15,15,9,14,11,16,11,17,14,15,10,18,16,16,13,12,17,14,14,8,10,9,14,17,16
379,11,12,14,19,20,18,13,8,8,12,15,13,10,17,12,9,12,9,14,11,14,24,21,22,12,15,12,16,10,19,13,17,16,13,11,9,13,14,14,13,16,16,16,15,20,14,18,14,19,13,15
380,21,16,20,15,14,17,17,15,17,13,14,12,13,14,10,18,12,19,17,12,16,13,11,9,18,13,18,16,18,17,15,17,13,16,15,20,12,13,17,15,17,13,18,14,13,12,11,13,9,15,7
381,10,17,14,9,16,12,14,17,18,12,17,12,13,17,10,13,18,14,11,20,13,15,19,18,18,12,18,12,16,9,19,19,21,16,14,15,16,14,20,14,15,17,9,14,10,15,17,21,17,17,14
382,15,12,14,13,10,14,8,15,14,12,15,17,14,13,16,13,21,15,12,15,13,17,15,17,14,14,22,19,13,19,15,14,15,17,17,20,12,15,13,17,14,15,14,12,11,14,16,18,16,15,11
383,10,12,9,14,13,18,9,16,10,14,14,11,19,13,13,11,12,11,10,13,10,13,9,12,15,15,13,14,15,14,10,16,14,14,16,14,20,21,14,17,19,17,11,15,15,15,17,20,11,13,6
384,16,7,13,9,14,10,10,9,13,14,9,15,19,13,13,11,11,10,13,16,12,17,14,15,14,12,14,18,11,16,13,16,15,15,15,15,16,15,11,11,14,15,14,17,18,15,15,15,7,11,14
385,15,16,15,15,16,13,11,12,11,16,7,20,11,13,6,20,10,17,17,10,10,14,7,14,11,14,13,8,9,14,12,13,12,13,14,13,13,10,16,14,8,14,7,9,9,14,13,15,17,10,14
386,7,14,12,11,13,17,9,16,15,11,13,11,10,11,10,17,10,22,7,8,8,7,10,8,13,13,12,6,12,11,14,5,11,15,11,12,9,10,9,9,12,15,10,10,7,13,13,11,5,10,7
387,10,10,10,12,7,13,5,9,12,14,6,12,12,5,12,12,0,8,15,5,18,9,16,9,9,10,8,9,5,11,12,11,15,12,11,13,9,12,12,14,7,17,7,5,10,12,12,12,12,4,15
388,14,9,13,9,11,13,8,16,11,3,16,12,8,15,11,6,10,7,8,14,12,13,11,15,7,16,11,6,10,9,7,4,7,13,8,11,4,10,6,16,13,16,12,16,11,10,17,9,16,10,12
389,6,10,7,7,13,11,10,9,12,8,12,11,8,14,7,13,14,11,11,12,13,10,8,10,13,14,15,13,17,11,14,13,14,11,12,15,10,12,12,10,19,10,8,13,10,15,16,11,12,14,12
390,10,13,8,4,9,4,10,15,12,9,10,9,10,15,12,17,13,19,10,11,11,10,13,13,14,11,13,16,16,16,10,17,12,16,15,16,12,15,14,12,10,8,16,12,17,8,8,11,12,20,15
391,8,12,8,8,13,12,8,12,10,9,7,13,10,12,10,8,8,8,16,12,18,5,11,5,7,11,9,10,13,10,11,11,13,12,10,12,11,12,11,13,15,11,9,11,10,11,14,11,8,16,9
392,9,9,11,17,9,15,14,8,12,8,6,10,12,10,10,10,12,10,16,15,18,15,12,13,15,12,17,13,16,15,3,10,5,8,22,14,14,16,11,9,14,9,16,11,14,14,16,14,10,11,15
393,10,12,12,13,13,9,10,14,10,9,12,9,12,12,16,14,13,15,17,17,13,11,13,9,10,8,10,9,11,10,15,11,15,14,17,17,13,7,12,14,15,14,16,14,15,17,16,17,16,11,17
394,16,14,16,14,18,17,19,14,17,9,14,8,9,18,11,7,17,7,14,13,16,9,7,9,16,17,12,11,13,13,12,11,14,10,14,13,17,15,15,10,13,13,8,15,6,12,16,13,12,18,14
395,12,12,12,9,8,7,8,13,10,11,15,12,16,13,16,13,14,12,9,12,12,15,18,15,16,12,17,11,13,16,7,9,13,14,11,14,11,15,11,12,14,15,16,15,16,11,12,13,9,8,10
