,0,1
0,5.346797,7.11872
1,6.9314365,5.1896725
2,2.2013392,6.509403
3,3.6473024,5.4503865
4,4.5054693,4.1583576
5,6.0440903,2.8355594
6,6.512889,3.0388367
7,6.387882,3.0880418
8,3.3739033,5.739535
9,2.0680869,7.977018
10,2.3822885,8.11651
11,1.7758375,7.616789
12,1.68055,8.765707
13,1.799166,8.895359
14,1.6532427,8.450683
15,2.0192268,9.187744
16,1.8224998,8.790587
17,2.2978148,9.068989
18,2.2826958,8.902362
19,7.3648224,4.6372437
20,6.9088626,5.7853074
21,6.735307,5.1477537
22,4.7281017,4.813398
23,4.2534976,5.4315176
24,7.25142,4.4553704
25,5.532209,4.3457785
26,5.3897166,6.4545155
27,4.789317,4.255893
28,3.3464165,5.3189907
29,4.7354164,4.3749323
30,5.6735425,6.9809375
31,7.1615305,4.4528728
32,2.1895409,6.399855
33,3.4913273,7.2790174
34,1.9863539,6.918115
35,3.4252007,5.699512
36,2.6647441,5.769012
37,5.30561,5.445721
38,3.0961404,8.251539
39,3.8253021,5.21005
40,4.154049,6.0398107
41,6.133769,6.923482
42,5.37458,6.224518
43,5.4128976,5.324862
44,6.21144,6.4820824
45,4.2115035,5.567509
46,5.243999,4.922246
47,4.682033,6.28152
48,3.430618,6.8996725
49,2.1657987,9.1019945
50,2.403429,8.968085
51,2.2171643,9.121053
52,3.3539877,8.418802
53,2.6883354,8.809641
54,5.133469,4.54555
55,5.8165936,4.9078345
56,4.346854,6.454805
57,4.8396406,6.2014656
58,5.0847163,5.5246477
59,4.0608172,5.380342
60,5.817954,2.9489489
61,4.4532967,4.7645535
62,6.5006223,6.529398
63,4.4511814,3.9092634
64,4.490047,5.4499025
65,2.388095,6.977273
66,3.306215,5.5931673
67,3.8845608,5.0827484
68,3.5597982,5.545953
69,4.3957777,5.5278606
70,4.2787023,4.3357983
71,3.8977888,6.43207
72,6.9188685,3.609379
73,6.5597687,5.412286
74,4.509147,4.515996
75,4.911939,6.23472
76,5.345437,3.0550945
77,4.9922323,6.371092
78,4.363782,5.9441347
79,4.315368,4.337398
80,3.275073,7.139842
81,2.8623047,5.9695606
82,4.84659,5.759564
83,2.5192487,6.181493
84,2.8975718,7.387969
85,3.337917,5.9790826
86,2.1354275,8.035385
87,4.372086,7.6229444
88,4.489413,7.7190886
89,4.775241,7.048495
90,4.5834675,6.523798
91,3.6792848,4.456459
92,2.1778457,7.566121
93,2.0944126,9.212379
94,2.8642232,5.589012
95,4.1797476,4.940445
96,3.304682,8.026166
97,4.11943,4.843591
98,2.7264645,6.1271844
99,6.5051208,4.853752
100,4.7752194,5.6636825
101,7.3118596,4.9195914
102,6.680134,2.881952
103,6.3278317,4.942067
104,4.204003,6.8515487
105,2.617896,6.485323
106,2.0845346,7.0435777
107,4.910247,5.630376
108,6.368938,3.8637784
109,3.0998027,7.9170938
110,2.928443,7.717849
111,3.2154198,5.227123
112,6.706753,4.2779856
113,6.4772387,6.0604644
114,7.0447173,3.0061798
115,4.1174955,4.8605895
116,7.029374,3.723903
117,4.890774,7.1650577
118,3.6536777,5.3129826
119,4.0169377,7.312116
120,3.519163,4.7479215
121,3.4566886,5.7016153
122,3.7858963,3.9339018
123,5.3664985,3.0538428
124,3.4715495,4.9432206
125,4.1387997,6.346897
126,7.4750423,4.468989
127,6.3919516,2.528575
128,6.4887853,2.555358
129,4.006607,6.18979
130,5.762806,6.3255935
131,4.403064,4.598952
132,4.487257,4.0465493
133,4.656315,7.0085387
134,5.923147,6.4031262
135,2.735548,6.8253284
136,6.2965336,2.9389045
137,3.1203933,5.9037666
138,5.4421186,3.6100435
139,5.8494062,2.7158878
140,5.5814953,4.8852916
141,2.5709026,6.7476263
142,2.9551964,7.2467995
143,2.2864847,6.840968
144,2.549778,6.9962153
145,2.3999627,8.23045
146,4.482718,3.9030578
147,6.7810364,5.2910447
148,4.1346846,4.109953
149,2.8524828,8.823744
150,4.292685,3.9713879
151,3.7342834,7.6878967
152,4.563886,6.470465
153,3.994442,7.3575563
154,3.860238,8.26182
155,3.150799,6.254972
156,4.8430367,4.903298
157,5.416113,5.0490084
158,3.8158846,5.2082515
159,3.2181792,7.5714655
160,2.4031801,7.424378
161,2.775934,8.563044
162,1.9700884,8.223202
163,2.2436194,7.5564404
164,2.867712,8.38425
165,2.4091933,8.588073
166,2.143214,8.76702
167,2.0861595,8.674836
168,2.0801406,8.882893
169,2.1840134,9.0089035
170,2.999853,7.607259
171,2.6067135,7.185297
172,2.863971,8.656616
173,4.27451,6.1439333
174,2.1573107,7.900612
175,2.60345,8.32708
176,2.616144,8.283977
177,3.526915,6.9637523
178,3.6756885,7.8567505
179,2.9343016,7.8577785
180,4.2357297,6.521294
181,3.0448895,7.9046483
182,3.2050235,6.570982
183,4.483808,4.892059
184,5.5295634,6.209476
185,6.5402565,4.1294937
186,4.8178635,7.079112
187,5.282178,7.376893
188,6.1963296,4.7489076
189,5.703064,7.1254983
190,5.7282395,5.025276
191,4.798839,6.169291
192,3.9169,4.536196
193,4.387338,4.1721616
194,3.8703961,4.217659
195,5.221428,5.2355003
196,4.7074327,3.6256592
197,4.0498533,4.126997
198,5.7814407,4.8105245
199,5.6870885,4.7425933
200,6.681428,4.716383
201,3.7588136,6.3915205
202,5.3730984,5.7576723
203,6.2650595,6.005207
204,5.7613926,3.8530087
205,3.9439409,7.2524414
206,4.0472445,6.048306
207,4.614127,5.843807
208,6.1343994,5.938199
209,4.7010503,7.613627
210,2.6656778,7.5691967
211,1.6601202,8.647668
212,2.6609852,6.3836536
213,3.6809528,8.1464405
214,2.7955902,8.312844
215,1.8777133,9.002193
216,2.4014597,8.775365
217,2.6094606,7.7628098
218,2.2095852,7.4031506
219,4.816778,6.760862
220,4.0319567,3.8513901
221,5.544713,5.1908317
222,4.7265377,4.879068
223,6.9155765,4.609707
224,2.836925,8.784006
225,2.2585557,8.125044
226,5.102774,7.285278
227,6.7927346,6.00628
228,5.757022,4.572131
229,5.1913204,7.500483
230,5.383065,4.3306475
231,6.4266896,5.3254213
232,6.665825,5.5408263
233,5.6171923,3.4120655
234,6.7503977,4.5465355
235,6.763019,6.4277883
236,3.9904826,5.4321203
237,5.046625,5.0528092
238,5.9683313,6.181135
239,4.9497685,7.1580706
240,7.2849193,3.957292
241,5.95045,5.831882
242,6.277788,6.043889
243,3.9845102,3.577395
244,4.706733,6.3041987
245,7.2251663,5.243859
246,6.7017345,5.486244
247,5.775598,4.0194354
248,6.429866,3.9073014
249,6.878142,5.4398046
250,5.7468557,3.9413874
251,5.3853993,6.3744273
252,5.0999327,4.6811953
253,5.8510427,2.7425845
254,5.6455,3.5679142
255,4.4484897,6.1839495
256,7.3446836,2.965073
257,6.087229,6.4024677
258,5.4114146,4.5629106
259,6.3082356,5.7684574
260,4.9365244,5.42633
261,4.6978946,4.2587094
262,4.278324,4.9431787
263,6.894063,2.5782967
264,6.6420093,2.843234
265,5.9334145,3.289929
266,4.907318,4.7069664
