,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
45,31.0,35.0,29.0,32.0,32.0,35.0,43.0,39.0,36.0,37.0,35.0,27.0,33.0,29.0,48.0,36.0,40.0
46,42.0,31.0,40.0,34.0,37.0,41.0,32.0,32.0,37.0,51.0,28.0,39.0,54.0,30.0,43.0,32.0,32.0
47,33.0,37.0,36.0,34.0,39.0,32.0,37.0,33.0,46.0,31.0,29.0,29.0,44.0,47.0,36.0,46.0,34.0
48,32.0,24.0,27.0,39.0,29.0,32.0,45.0,37.0,30.0,30.0,27.0,33.0,30.0,39.0,39.0,34.0,29.0
49,28.0,26.0,25.0,26.0,26.0,25.0,24.0,20.0,29.0,27.0,39.0,24.0,23.0,40.0,24.0,17.0,31.0
50,26.0,30.0,28.0,22.0,26.0,27.0,26.0,23.0,27.0,36.0,32.0,24.0,33.0,27.0,34.0,25.0,27.0
51,24.0,25.0,32.0,26.0,25.0,22.0,20.0,25.0,27.0,36.0,38.0,20.0,21.0,27.0,20.0,27.0,33.0
52,27.0,24.0,37.0,26.0,43.0,25.0,37.0,38.0,38.0,36.0,32.0,14.0,24.0,27.0,27.0,33.0,35.0
53,27.0,34.0,20.0,28.0,32.0,32.0,34.0,30.0,35.0,30.0,41.0,24.0,24.0,27.0,33.0,26.0,32.0
54,35.0,33.0,36.0,30.0,42.0,30.0,23.0,44.0,50.0,38.0,45.0,43.0,35.0,39.0,44.0,30.0,37.0
55,36.0,38.0,34.0,45.0,52.0,37.0,31.0,40.0,39.0,37.0,50.0,38.0,38.0,33.0,43.0,34.0,38.0
56,35.0,37.0,35.0,42.0,30.0,23.0,35.0,25.0,41.0,36.0,35.0,43.0,45.0,34.0,41.0,40.0,31.0
57,34.0,29.0,36.0,39.0,42.0,28.0,41.0,39.0,43.0,31.0,33.0,46.0,39.0,23.0,42.0,37.0,32.0
58,41.0,33.0,37.0,37.0,40.0,41.0,41.0,35.0,49.0,38.0,38.0,38.0,31.0,48.0,40.0,41.0,29.0
59,37.0,32.0,35.0,45.0,36.0,39.0,38.0,24.0,41.0,36.0,36.0,43.0,44.0,33.0,39.0,33.0,48.0
60,40.0,36.0,37.0,34.0,42.0,45.0,44.0,48.0,43.0,40.0,28.0,41.0,35.0,41.0,39.0,37.0,40.0
61,25.0,33.0,45.0,34.0,39.0,39.0,38.0,49.0,34.0,27.0,34.0,30.0,37.0,29.0,37.0,48.0,39.0
62,43.0,41.0,50.0,53.0,40.0,25.0,42.0,40.0,42.0,30.0,40.0,43.0,43.0,42.0,32.0,31.0,37.0
63,40.0,31.0,33.0,33.0,37.0,36.0,39.0,42.0,34.0,44.0,32.0,38.0,34.0,42.0,42.0,42.0,37.0
64,30.0,40.0,27.0,36.0,28.0,45.0,40.0,26.0,45.0,35.0,35.0,35.0,38.0,33.0,44.0,35.0,35.0
65,29.0,18.0,22.0,29.0,34.0,35.0,36.0,29.0,48.0,28.0,37.0,37.0,39.0,37.0,22.0,37.0,35.0
66,28.0,29.0,37.0,32.0,28.0,37.0,25.0,34.0,41.0,28.0,45.0,40.0,35.0,44.0,40.0,35.0,48.0
67,33.0,39.0,32.0,35.0,36.0,37.0,36.0,34.0,36.0,30.0,41.0,49.0,41.0,36.0,36.0,34.0,46.0
68,26.0,26.0,34.0,36.0,34.0,35.0,39.0,38.0,35.0,33.0,40.0,43.0,35.0,39.0,34.0,30.0,41.0
69,38.0,35.0,30.0,33.0,39.0,37.0,35.0,36.0,30.0,49.0,42.0,40.0,27.0,32.0,45.0,41.0,35.0
70,41.0,35.0,25.0,40.0,40.0,33.0,35.0,40.0,37.0,38.0,29.0,42.0,40.0,33.0,38.0,37.0,37.0
71,31.0,37.0,33.0,32.0,37.0,30.0,36.0,27.0,42.0,42.0,42.0,45.0,40.0,31.0,34.0,37.0,28.0
72,47.0,53.0,38.0,43.0,44.0,31.0,39.0,43.0,45.0,41.0,41.0,48.0,45.0,42.0,43.0,53.0,36.0
73,34.0,43.0,49.0,42.0,38.0,39.0,35.0,23.0,42.0,47.0,41.0,35.0,38.0,43.0,26.0,42.0,39.0
74,32.0,40.0,41.0,35.0,37.0,33.0,36.0,48.0,37.0,32.0,42.0,32.0,36.0,38.0,30.0,41.0,51.0
75,33.0,33.0,44.0,29.0,41.0,32.0,36.0,35.0,43.0,30.0,36.0,40.0,30.0,27.0,40.0,49.0,32.0
76,34.0,32.0,41.0,33.0,49.0,41.0,43.0,49.0,54.0,49.0,35.0,39.0,35.0,41.0,42.0,36.0,35.0
77,30.0,37.0,36.0,43.0,39.0,31.0,37.0,30.0,35.0,35.0,36.0,37.0,33.0,28.0,42.0,40.0,34.0
78,27.0,31.0,40.0,42.0,38.0,38.0,35.0,31.0,35.0,38.0,30.0,39.0,36.0,33.0,40.0,33.0,41.0
79,22.0,30.0,32.0,31.0,35.0,37.0,40.0,51.0,35.0,41.0,32.0,30.0,46.0,36.0,36.0,44.0,47.0
80,46.0,26.0,31.0,30.0,27.0,34.0,29.0,26.0,36.0,27.0,36.0,30.0,40.0,42.0,33.0,41.0,33.0
81,30.0,27.0,28.0,35.0,22.0,40.0,31.0,32.0,35.0,42.0,36.0,52.0,32.0,27.0,33.0,39.0,41.0
82,43.0,44.0,33.0,42.0,35.0,32.0,31.0,31.0,23.0,47.0,45.0,35.0,35.0,34.0,40.0,34.0,36.0
83,21.0,17.0,25.0,36.0,28.0,42.0,42.0,34.0,34.0,42.0,28.0,41.0,37.0,42.0,50.0,28.0,36.0
