,0,1
0,9.623937,14.023485
1,9.6101675,13.964378
2,9.58784,13.907572
3,9.58642,13.903005
4,9.57653,13.880617
5,9.573805,13.875702
6,9.563922,13.856246
7,9.551357,13.831972
8,9.539279,13.805568
9,9.521347,13.767393
10,9.523924,13.7742815
11,9.512344,13.741852
12,9.507875,13.737374
13,9.499917,13.717141
14,9.4857645,13.683512
15,9.478539,13.667177
16,9.455249,13.614432
17,9.420606,13.540348
18,9.427948,13.554071
19,9.411982,13.518917
20,9.405501,13.498594
21,9.3871,13.458371
22,9.372677,13.431034
23,9.355526,13.398736
24,9.32929,13.335842
25,9.305502,13.28297
26,9.294192,13.262322
27,9.287134,13.2469
28,9.265503,13.206555
29,9.238067,13.150196
30,9.244993,13.167037
31,9.219351,13.11391
32,9.217725,13.1106
33,9.18631,13.05055
34,9.156956,12.99073
35,9.1363,12.949658
36,9.107532,12.888446
37,9.105092,12.840181
38,9.041144,12.745148
39,9.026518,12.72172
40,8.998864,12.663439
41,9.011237,12.689098
42,8.9904375,12.643733
43,9.001725,12.639634
44,8.958176,12.565418
45,8.919918,12.470403
46,8.905004,12.43406
47,8.870599,12.351283
48,8.850758,12.30256
49,8.830679,12.260045
50,8.774754,12.15274
51,8.789515,12.115294
52,8.741382,12.029068
53,8.688032,11.870459
54,8.680566,11.852368
55,8.673612,11.813745
56,8.644737,11.773107
57,8.630727,11.726796
58,8.624358,11.703581
59,8.611266,11.664485
60,8.614314,11.670914
61,8.591699,11.611009
62,8.560019,11.523175
63,8.51423,11.379055
64,8.465256,11.232185
65,8.460698,11.211181
66,8.441567,11.148022
67,8.430545,11.111763
68,8.424699,11.084039
69,8.413694,11.051509
70,8.39611,10.978841
71,8.3729925,10.878532
72,8.332606,10.715503
73,8.274821,10.460283
74,8.240041,10.331591
75,8.221817,10.245782
76,8.220074,10.241892
77,8.20002,10.14218
78,8.168071,10.181116
79,8.191444,10.073829
80,8.186836,10.066381
81,8.175439,10.004203
82,8.164004,9.942579
83,8.156058,9.893547
84,8.143579,9.83811
85,8.112109,9.584656
86,8.057088,9.403013
87,8.034539,9.299263
88,8.017087,9.228202
89,7.997596,9.106331
90,7.9862423,9.049999
91,7.972255,8.9248495
92,7.955025,8.854339
93,7.9428997,8.800709
94,7.9424257,8.804477
95,7.9305854,8.756693
96,7.9238935,8.733633
97,7.90924,8.657814
98,7.868724,8.489245
99,7.33265,6.665838
100,7.3036156,6.588253
101,7.2905807,6.5477405
102,7.2773943,6.5136185
103,7.2686214,6.4791856
104,7.2427387,6.4001737
105,7.2443333,6.4012275
106,7.238805,6.38934
107,7.2315855,6.365601
108,7.230986,6.3711467
109,7.2158,6.3289394
110,7.2132573,6.3212223
111,7.1987906,6.2758064
112,7.1866236,6.238623
113,7.1643147,6.179752
114,7.1392217,6.1260104
115,7.1398797,6.1069098
116,7.1354527,6.1052384
117,7.1300683,6.082737
118,7.1162376,6.049289
119,7.1018906,6.01952
120,7.0927877,5.9845285
121,7.074998,5.9810357
122,7.0697293,5.9312897
123,7.055798,5.8896775
124,7.033071,5.8405957
125,6.997448,5.7557178
126,6.982015,5.7258105
127,6.9865236,5.726696
128,6.971804,5.684139
129,6.967765,5.664935
130,5.06493,0.17457736
131,5.0452704,0.12045693
132,5.016088,0.058877036
133,4.963864,-0.0559223
134,4.959442,-0.048579365
135,4.920403,-0.11953603
136,4.9068685,-0.16748074
137,4.8657575,-0.2373536
138,4.8490925,-0.2732222
139,4.7792463,-0.38619825
140,4.7865057,-0.396173
141,4.743658,-0.4654104
142,4.6153727,-0.6943657
143,4.55602,-0.7977627
144,4.4245296,-1.0420293
145,4.3608494,-1.1217711
146,4.2782416,-1.2432928
147,4.2229304,-1.3267475
148,4.152238,-1.445132
149,4.1598163,-1.430273
150,4.119545,-1.5060745
151,4.0467296,-1.5935292
152,3.9660406,-1.7110918
153,3.926611,-1.7590019
154,3.8930774,-1.8129896
155,3.8356888,-1.8967512
156,3.7480323,-2.0441759
157,3.7072453,-2.1136234
