,0,1,2
0,5.4536095,6.524897,3.3528533
1,7.337691,7.9343677,3.978247
2,3.4314427,5.550154,4.7666855
3,4.282294,7.738772,5.0290065
4,4.9641395,8.097932,5.0374646
5,6.7450275,8.98266,5.0395503
6,7.4297123,8.692707,5.701346
7,7.3306165,8.905963,5.280276
8,4.844506,6.2474546,5.356369
9,2.9684074,4.8305063,3.9984903
10,2.7783399,4.9347415,3.5334015
11,2.9040232,4.926998,4.51368
12,2.583935,4.2459307,3.8599086
13,2.4302676,4.3659077,3.605328
14,2.4122293,4.4965653,3.9883747
15,2.7439346,3.9462621,3.4960685
16,2.5726423,4.083029,3.9544191
17,2.7830873,4.1477356,3.412805
18,3.0103168,4.398619,3.4873278
19,6.9615507,8.474483,4.2752743
20,6.7464094,7.549138,4.74694
21,6.825102,7.7520223,3.7452798
22,4.614531,8.2786455,5.196604
23,4.833702,7.35157,4.5356793
24,7.0100236,8.328692,4.2557793
25,5.5050287,8.549815,5.3935227
26,5.8953247,6.6199374,3.5780234
27,5.1901283,8.35712,5.536004
28,4.507812,6.6318364,5.352581
29,5.1994934,8.221109,4.422573
30,5.7833247,6.1957445,3.8287282
31,6.6481724,8.169808,4.6174593
32,3.2875216,5.7530117,4.799548
33,3.856915,6.226937,3.54562
34,3.1077163,5.2736063,4.5961924
35,4.7305617,6.420074,5.221398
36,3.6139586,6.4262886,4.9040265
37,5.949756,6.67207,5.0054665
38,3.565134,4.959786,3.3347092
39,5.3166957,6.530147,5.09349
40,4.7670994,6.7400293,4.3864055
41,5.933917,6.1771417,4.9625936
42,6.0223784,7.0575576,3.3331358
43,6.2209897,7.0734444,4.916454
44,6.397016,6.62487,4.2827835
45,4.6731105,7.3239775,4.149276
46,5.8476825,7.5862846,4.9483285
47,4.96113,7.0690575,3.4237149
48,4.0112133,5.9132957,4.3505006
49,2.8895864,4.1026754,3.433922
50,2.8583958,4.233645,3.4273274
51,2.8594503,4.0683675,3.339244
52,3.9516482,4.7715154,3.3641882
53,3.369539,4.3402195,3.525768
54,6.157855,7.269475,5.755246
55,6.5425887,7.268411,5.4837894
56,4.7067657,6.783329,3.3259063
57,5.5125275,7.1246552,3.4933898
58,5.422068,7.522032,3.7606728
59,5.3252416,6.7847605,4.7998157
60,6.3773575,8.778916,5.204787
61,4.9437904,8.0496,4.4110885
62,6.67208,6.5019317,4.501703
63,5.067125,8.256837,4.9187317
64,5.129449,6.929495,4.239519
65,3.318355,5.388176,4.4703035
66,4.9147625,6.344545,5.5215096
67,5.3680334,6.799743,5.21657
68,4.889483,6.3747764,5.239581
69,4.615958,7.503995,4.223076
70,5.1380134,7.819877,4.892109
71,4.683288,6.6971774,3.3470745
72,7.716957,8.253169,5.2434616
73,6.924473,7.5700493,3.509537
74,5.413135,7.210732,5.3924565
75,5.2682123,7.14017,3.3992126
76,6.4115415,8.728679,5.7634683
77,5.654758,6.823479,3.4271905
78,5.2995853,6.6391516,4.464637
79,4.754456,8.059101,5.0282254
80,4.0265665,5.877181,3.6989791
81,3.8098538,6.1707797,4.864683
82,4.6406326,7.5785236,3.9576213
83,3.640852,5.90464,4.9168057
84,3.7359588,5.243907,3.9821644
85,4.1174054,7.110245,4.2989864
86,3.1797485,4.7544084,4.222598
87,4.9466524,5.7477217,3.8596609
88,4.9257164,5.547675,3.8023937
89,4.9704294,6.1629887,3.3516028
90,4.861792,6.859855,3.3347087
91,4.832457,7.633765,5.0176277
92,3.2465498,5.1416035,4.3747063
93,2.8062184,4.0826025,3.3921032
94,4.1257005,6.4733996,4.9773216
95,5.063003,7.6527486,4.3754125
96,3.9414206,4.945884,3.6597607
97,4.81232,8.075036,4.2965035
98,3.7569628,5.998956,4.9150596
99,7.6203675,7.8088584,4.3702674
100,5.14409,7.5276713,3.5157976
101,7.0616584,8.263948,4.0036087
102,7.845231,8.49405,5.568898
103,7.3986783,7.3274264,4.5085506
104,4.6892815,6.2587323,4.1989264
105,3.748333,5.7100163,4.7533703
106,2.9218206,5.730316,4.2624073
107,5.2619634,7.6295195,3.6184843
108,7.4661393,7.788072,4.977523
109,3.5497904,5.2807474,3.5029578
110,3.7340038,5.0517864,3.9013603
111,4.6717477,6.8158097,5.3253436
112,7.1130195,7.672472,5.3349504
113,6.869673,7.066161,4.268121
114,7.5504603,8.740634,5.3730216
115,4.963005,7.9696555,4.13134
116,7.6930547,8.339139,4.838766
117,5.665456,5.934113,3.7694666
118,4.2841053,7.3031864,4.4742975
119,4.6626787,5.7823205,4.1845937
120,4.3441286,7.591938,4.5343413
121,4.7613363,6.355777,5.183413
122,4.8370337,7.5097194,5.552757
123,6.2954016,8.765823,5.8380494
124,4.810369,7.0130467,5.4408593
125,4.454836,6.998918,3.5643122
126,7.0405602,8.520718,4.3343735
127,7.314182,8.963344,5.852288
128,7.1623926,9.197863,5.690832
129,4.387448,7.0590897,3.8139062
130,6.034093,6.844359,4.2829437
131,5.445963,7.8462386,4.6971545
132,5.3092513,7.913441,5.090605
133,5.009851,6.2581277,3.7425542
134,6.269911,6.582785,4.048151
135,3.4589465,5.5642166,4.3051486
136,6.9127846,8.910019,5.447176
137,4.217786,6.631043,4.7085233
138,6.1592145,8.46573,5.2049556
139,6.515589,9.248748,5.3526587
140,5.87905,8.312331,3.7529037
141,3.336251,6.149433,4.279675
142,3.343309,5.798538,3.571746
143,3.0468926,5.850129,4.3968863
144,3.1676137,5.7297873,3.955143
145,3.2927651,4.6573644,3.7358856
146,5.3561926,7.9577827,5.2603765
147,6.740157,7.6799088,3.5035157
148,4.947335,8.074328,5.4511194
149,3.4564362,4.4570527,3.3443146
150,5.3643236,7.7432246,5.1829023
151,4.3902817,5.424568,3.6734674
152,5.071958,6.796661,3.8985386
153,4.540131,5.8285084,3.9823782
154,4.4930277,5.0373135,3.354055
155,4.3251486,5.9375286,4.952923
156,4.5416417,8.259489,5.202673
157,6.131792,6.995658,5.5267777
158,5.223281,6.525445,5.087463
159,3.661814,5.6781,3.4522722
160,3.0050926,5.626309,3.7926896
161,3.0048265,4.8699217,3.256087
162,2.7161112,4.666728,3.7690704
163,2.8422651,4.993362,3.887901
164,3.6719294,4.6007442,3.6331577
165,2.7490644,4.643389,3.3696084
166,2.525711,4.478148,3.5462873
167,2.6384025,4.321328,3.6534946
168,2.692936,4.124639,3.8071423
169,2.7840343,4.139236,3.5987227
170,3.3193967,5.673187,3.5684834
171,3.1498199,5.931745,3.9202852
172,3.0682356,4.7591515,3.206159
173,4.97261,6.697666,4.017905
174,2.9536064,5.1779585,3.840256
175,3.5551784,4.579278,3.720336
176,3.435032,4.551556,3.757159
177,4.1738844,5.8793483,4.2550397
178,3.9081829,5.2440047,3.4108615
179,3.3302667,5.291218,3.5169404
180,4.59422,6.6336083,3.793509
181,3.6929853,4.9283276,3.8302715
182,4.151162,5.7980766,4.6404805
183,4.4664693,8.024392,5.17542
184,5.9869843,6.752797,3.6762788
185,6.826513,9.100619,4.0720296
186,5.213212,5.979338,3.5514715
187,5.7131743,6.160879,3.4210029
188,6.1273046,8.178214,3.6919806
189,5.8472357,5.914061,4.524669
190,6.178866,7.4462147,5.164126
191,5.2740893,7.149462,3.8224568
192,4.9854937,7.490677,5.007776
193,5.0372505,8.346401,4.9085712
194,4.8366785,7.4233375,5.236886
195,5.1055775,7.874903,3.7577143
196,5.2496834,8.273829,5.2323427
197,5.265205,7.2115293,5.316295
198,6.57423,7.4375415,5.658686
199,5.8553696,8.344133,3.7565534
200,6.987458,7.8194323,4.408985
201,4.048814,7.154063,3.8996198
202,5.4065595,7.176176,4.1677356
203,6.77381,6.813729,4.0798993
204,6.221373,8.139489,5.470115
205,4.6950603,5.8314543,4.013991
206,4.6769676,6.8540096,4.324007
207,4.369791,7.500811,3.8994086
208,6.5074005,7.0634227,4.5845284
209,5.0915627,5.7562556,3.3918204
210,3.091746,5.490123,3.6323838
211,2.5209541,4.078058,4.038388
212,3.8193285,5.5643845,4.8417525
213,4.137286,5.044816,3.3498774
214,3.089142,4.9819803,3.4149458
215,2.6312711,4.0002956,3.7215123
216,2.9767256,4.326236,3.5479307
217,3.3428996,5.075193,3.9538183
218,3.0483649,5.430939,4.2670016
219,5.1394567,6.3894815,3.6345694
220,5.021073,7.9279885,5.5470867
221,5.931053,8.173136,3.6825936
222,4.606809,8.220846,5.122619
223,6.70486,8.073355,4.853823
224,3.4789264,4.4536123,3.4823
225,2.808482,5.0215077,3.658795
226,5.5908103,5.9642425,3.3165357
227,6.6174784,7.2081194,4.6088576
228,6.3266997,7.8021555,4.7018557
229,5.894586,5.860026,3.731059
230,5.637344,8.229848,4.3368635
231,7.0632634,7.215022,4.5263147
232,6.637099,7.4813128,3.878862
233,6.767109,8.541798,5.6371074
234,6.997636,7.497224,5.25581
235,6.6997743,6.782472,4.543587
236,4.858969,6.981917,4.750053
237,6.056578,7.2528462,5.0569663
238,6.4475384,6.9879284,3.4685473
239,5.3916173,5.92978,3.6445162
240,6.9448786,8.619756,4.979408
241,6.6820836,6.9940543,3.7866464
242,6.7005258,6.8687515,4.1710863
243,5.206934,7.7395535,5.798588
244,5.2562776,7.0261703,3.4081805
245,6.7346883,8.125581,3.8284192
246,7.110042,7.389282,3.868799
247,5.744867,8.332265,5.5227
248,6.7686033,8.818759,4.39516
249,6.5964704,7.7904725,3.5114458
250,6.179028,8.36862,4.2949376
251,5.8146467,6.6904016,3.6657257
252,5.503413,8.221271,4.093292
253,6.558995,9.183338,5.509451
254,6.822701,8.048578,5.517486
255,4.809418,7.095084,3.6501644
256,7.932073,8.789466,4.908631
257,6.2507806,6.836532,4.717962
258,5.8596234,7.6638894,5.0566535
259,6.941583,7.0127635,4.055053
260,5.681548,8.031835,3.769076
261,5.557912,7.7249327,5.059059
262,4.9677515,8.046188,4.249374
263,7.8071566,9.094879,5.125183
264,7.54897,8.708012,5.500743
265,6.9177947,8.669646,5.466307
266,4.8278656,8.42203,5.391287
267,6.303517,7.368401,3.471391
268,6.2060943,6.197932,3.9394755
269,6.812586,8.158642,5.8686523
270,4.475146,7.659606,4.4071283
271,3.0657144,5.4459147,4.178601
272,3.1918588,4.7338963,3.402052
273,2.8507652,4.7893314,4.418464
274,3.2915895,4.7103086,4.063769
275,3.6006691,4.7137804,3.9713387
276,3.3065033,5.740876,4.734656
277,3.3649037,4.757349,3.6876893
278,3.4065566,4.8437085,3.2062168
279,7.1220384,8.347904,4.524028
280,5.1579695,6.8050985,5.374574
281,6.168874,7.2527018,3.3823857
282,5.5978413,8.011399,5.072135
283,5.06207,5.9887342,5.094131
284,7.4775715,8.612706,5.5382414
285,5.96728,7.458425,3.7320998
286,5.8411593,7.232057,4.802302
287,6.852363,7.6086864,4.0088115
288,5.289455,7.954386,3.8459551
289,5.8479185,6.0371437,4.072967
290,4.52626,7.635532,3.9019485
291,6.548127,9.001806,4.9536557
292,6.27894,6.730197,3.6075659
293,5.6972103,8.058266,5.010793
294,6.156935,6.1903214,4.852772
295,7.393062,7.2417994,4.4682126
296,7.965194,8.744007,4.9164066
297,5.9850206,6.1160393,4.277065
298,7.411302,9.22593,5.4441476
299,6.4510984,8.922606,4.9370823
300,6.779993,6.78394,4.6531863
301,5.6694374,8.46576,4.4485154
302,7.1878567,7.52138,3.785418
303,6.8941636,9.054855,4.458079
304,7.7355347,8.525837,4.580798
305,7.531486,8.803243,5.2990074
306,7.362193,9.302834,5.461753
307,7.6502976,8.168458,4.4351315
308,6.48434,8.589942,5.934651
309,6.171655,8.786645,5.821175
310,7.32288,9.24333,5.4373593
311,7.490752,7.870004,5.094442
312,7.6359987,8.711207,5.3383517
313,6.4324274,8.929632,4.876235
314,7.602338,8.376309,4.9372816
315,6.3420396,9.187408,5.4536123
316,7.79714,8.364564,4.9965487
317,7.077564,7.8230667,5.6839447
318,5.986834,8.6205845,5.6645756
319,7.367794,8.506998,5.01306
320,6.740303,8.464346,4.440888
321,5.54583,6.5762715,4.6286664
322,5.283618,7.614393,3.598146
323,5.1672688,7.8703756,5.7720237
324,6.8531528,9.048179,4.3261952
325,4.0366435,5.7646055,3.9058852
326,4.7466683,6.529702,5.2626367
327,7.6873975,9.220347,5.209458
328,7.137715,7.5826597,3.8241544
329,6.839655,9.366674,5.261478
330,5.098439,7.096761,4.3459764
331,6.346151,7.756567,5.3862224
332,6.0739903,6.159779,4.8969274
333,5.740611,8.300652,3.9018862
334,6.122705,6.074534,4.378711
335,6.953459,8.981095,5.426193
336,7.1774626,8.801756,5.8856378
337,6.669826,7.949036,5.003095
338,7.8187084,8.462224,5.067871
339,6.562023,8.503614,5.6955976
340,6.9309454,8.12626,5.568224
341,7.807416,8.999146,4.9350357
342,7.3891687,9.056749,4.9829655
343,4.4623194,7.5487905,3.8693774
344,7.268529,7.4850616,5.057209
345,7.0665402,7.9464145,4.1999297
346,5.3321557,7.4231505,5.7051406
347,5.5604177,6.572994,3.6421218
348,6.7419324,7.100431,5.4444985
349,5.278482,8.198983,4.521822
350,6.4589586,6.5191836,4.4131246
351,5.8222985,8.218994,4.612204
352,4.577363,8.173615,5.200899
353,4.1041603,7.1908092,4.7962694
354,3.5621097,6.5668693,4.959143
355,7.5512958,7.9698334,4.894133
356,6.48054,8.276519,5.90104
357,7.510549,7.7123275,4.8960714
358,7.2489014,9.062531,5.1949973
359,7.224688,8.936909,4.71616
360,7.7507796,9.007992,4.872594
361,7.1714826,7.7450433,4.2978163
