scorer,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000
bodyparts,nose,nose,nose,left_eye,left_eye,left_eye,right_eye,right_eye,right_eye,left_ear,left_ear,left_ear,right_ear,right_ear,right_ear,left_shoulder,left_shoulder,left_shoulder,right_shoulder,right_shoulder,right_shoulder,left_elbow,left_elbow,left_elbow,right_elbow,right_elbow,right_elbow,left_wrist,left_wrist,left_wrist,right_wrist,right_wrist,right_wrist,left_hip,left_hip,left_hip,right_hip,right_hip,right_hip,left_knee,left_knee,left_knee,right_knee,right_knee,right_knee,left_ankle,left_ankle,left_ankle,right_ankle,right_ankle,right_ankle
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,474.2181396484375,560.8419189453125,0.9999110698699951,484.84747314453125,555.89892578125,0.9999115467071533,474.00445556640625,555.9419555664062,0.9998270869255066,505.79144287109375,554.1015625,0.9969680905342102,472.07183837890625,553.1069946289062,0.9500018954277039,522.8143310546875,592.6036376953125,0.9975736737251282,476.47161865234375,589.6416015625,0.9971154928207397,519.06982421875,632.4146728515625,0.995439350605011,480.58551025390625,622.2841796875,0.9726146459579468,498.0595397949219,625.4735107421875,0.992661714553833,465.35882568359375,611.8610229492188,0.9390701055526733,554.8226318359375,686.04638671875,0.9034098982810974,533.43603515625,678.7044067382812,0.619655966758728,535.9202270507812,654.2711181640625,0.8996717929840088,501.86907958984375,665.4152221679688,0.9643579125404358,567.1040649414062,705.7520751953125,0.9687572121620178,503.79302978515625,708.2440795898438,0.9285654425621033
1,474.2181396484375,561.3147583007812,0.9999330043792725,485.0751953125,556.1978149414062,0.9999256134033203,474.00445556640625,556.3690795898438,0.9998793601989746,506.0618591308594,554.149658203125,0.996892511844635,472.07183837890625,553.1478271484375,0.959617555141449,524.1842041015625,593.36279296875,0.9980165958404541,477.1098327636719,589.8870849609375,0.9972010850906372,522.5108032226562,633.15673828125,0.9960795044898987,481.25665283203125,622.709228515625,0.9799278974533081,499.0433654785156,627.1528930664062,0.9939802885055542,465.5927429199219,611.8610229492188,0.9019599556922913,561.3539428710938,687.3814086914062,0.8926293253898621,533.763427734375,679.7109375,0.7321656942367554,536.1851806640625,655.084228515625,0.9288654327392578,502.27044677734375,665.513916015625,0.9739658236503601,567.2577514648438,705.7520751953125,0.9646134972572327,504.08428955078125,708.5097045898438,0.9444257616996765
2,474.2181396484375,561.3147583007812,0.9999268054962158,485.0751953125,556.1978149414062,0.9998809099197388,474.00445556640625,556.3690795898438,0.999849796295166,506.0618591308594,554.2769775390625,0.9974755644798279,472.1490173339844,553.2610473632812,0.9634876251220703,524.1842041015625,593.36279296875,0.9965912103652954,477.324462890625,590.1642456054688,0.9952424764633179,522.5108032226562,633.15673828125,0.9938878417015076,481.3190612792969,622.709228515625,0.9609304666519165,501.02886962890625,628.5623779296875,0.9724981784820557,465.5927429199219,611.9461669921875,0.9373303651809692,561.3539428710938,687.3814086914062,0.908832848072052,534.1942749023438,679.798583984375,0.7345440983772278,536.1851806640625,655.3759155273438,0.7902880907058716,502.3940124511719,665.5260620117188,0.9548214673995972,567.6753540039062,705.8853149414062,0.9438470005989075,504.2413024902344,708.6327514648438,0.958200216293335
3,474.2181396484375,561.3497314453125,0.9999465942382812,484.84747314453125,556.1978149414062,0.9999183416366577,474.00445556640625,556.3690795898438,0.9998878240585327,506.0618591308594,554.2769775390625,0.998275876045227,472.1490173339844,553.2714233398438,0.9640605449676514,524.1842041015625,593.36279296875,0.9972756505012512,478.157958984375,590.1642456054688,0.9962408542633057,522.5108032226562,633.15673828125,0.9931530952453613,481.7068176269531,622.709228515625,0.9622396230697632,502.0965576171875,628.5846557617188,0.9897603392601013,465.5927429199219,611.9529418945312,0.9048236012458801,554.8226318359375,686.04638671875,0.9182217121124268,535.245361328125,679.798583984375,0.7486838102340698,535.9202270507812,655.084228515625,0.8488559126853943,502.6949157714844,665.7412109375,0.9650040864944458,567.2577514648438,705.8853149414062,0.9625105857849121,504.3870849609375,708.6327514648438,0.9692305326461792
4,474.1643981933594,561.3497314453125,0.999933123588562,484.5908508300781,556.2102661132812,0.9999349117279053,474.02593994140625,555.7160034179688,0.9998593330383301,505.24407958984375,555.1182250976562,0.9973793029785156,472.2496337890625,553.2714233398438,0.957322895526886,522.4325561523438,592.9819946289062,0.9975023865699768,478.9710693359375,590.1642456054688,0.9965178966522217,518.0447998046875,632.2307739257812,0.9982123374938965,481.7068176269531,622.6806030273438,0.9859837889671326,502.0965576171875,629.37744140625,0.9873567819595337,465.2642822265625,612.1835327148438,0.9517228603363037,554.7258911132812,685.1243896484375,0.9101722240447998,535.6039428710938,679.798583984375,0.6700692176818848,535.1543579101562,655.0120239257812,0.7856127023696899,502.8778381347656,665.7412109375,0.969983696937561,567.1040649414062,706.9573974609375,0.9737333059310913,506.29400634765625,708.6327514648438,0.9477765560150146
5,473.7381896972656,561.3497314453125,0.9999357461929321,484.52728271484375,556.2102661132812,0.9999333620071411,474.1551818847656,555.7160034179688,0.9998408555984497,505.0557556152344,555.1182250976562,0.9975876808166504,472.680419921875,553.2610473632812,0.9555123448371887,522.4325561523438,592.9819946289062,0.9974109530448914,478.9710693359375,590.06103515625,0.9969623684883118,518.0191650390625,632.2307739257812,0.9982511401176453,481.4584655761719,622.6806030273438,0.9858258366584778,502.0965576171875,629.8702392578125,0.9879387617111206,465.1630859375,612.1835327148438,0.9491726160049438,553.9411010742188,685.1243896484375,0.8997541666030884,535.6039428710938,679.798583984375,0.7147234082221985,534.8922729492188,655.0120239257812,0.8097985982894897,502.8778381347656,665.7603759765625,0.975959837436676,567.1563720703125,707.5123291015625,0.9680810570716858,506.29400634765625,707.8071899414062,0.9490116238594055
6,473.7381896972656,560.875,0.9999170303344727,484.52728271484375,555.9085083007812,0.9999347925186157,474.1551818847656,555.6607666015625,0.9998108744621277,504.0816345214844,554.6137084960938,0.9975600242614746,472.680419921875,553.2369384765625,0.9416459798812866,522.4325561523438,592.824462890625,0.9955663084983826,478.9710693359375,590.0031127929688,0.9960263967514038,518.0191650390625,631.7509765625,0.9972487092018127,481.4584655761719,622.6713256835938,0.9870758652687073,502.08636474609375,629.8702392578125,0.9922956228256226,465.1630859375,612.1835327148438,0.9527288675308228,553.9411010742188,685.1243896484375,0.8899086117744446,535.6039428710938,679.8233032226562,0.7102667689323425,534.6217651367188,655.0120239257812,0.517180860042572,502.8778381347656,665.7603759765625,0.9548083543777466,567.1563720703125,707.6293334960938,0.9465739130973816,506.29400634765625,707.8071899414062,0.9258352518081665
7,474.19012451171875,560.9694213867188,0.9999254941940308,484.5908508300781,556.201904296875,0.999908447265625,474.1551818847656,555.7160034179688,0.999812662601471,504.71112060546875,555.6224975585938,0.9992570281028748,472.680419921875,553.1910400390625,0.9357955455780029,523.0372314453125,592.824462890625,0.9975481629371643,478.52520751953125,589.9716796875,0.9964765906333923,518.0447998046875,632.2307739257812,0.9969320297241211,481.1117858886719,622.6806030273438,0.9844571948051453,501.4911193847656,629.8702392578125,0.9923682808876038,465.1630859375,612.1835327148438,0.9411154389381409,554.283935546875,685.17529296875,0.9040847420692444,535.219970703125,680.4131469726562,0.7256982922554016,534.5775146484375,655.0120239257812,0.6552922129631042,501.93487548828125,665.8050537109375,0.9649885892868042,567.1563720703125,707.5123291015625,0.9602389335632324,506.23583984375,707.8071899414062,0.9403867125511169
