scorer,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000,DLC_resnet50_marmosetSep18shuffle1_1222000
bodyparts,nose,nose,nose,left_eye,left_eye,left_eye,right_eye,right_eye,right_eye,left_ear,left_ear,left_ear,right_ear,right_ear,right_ear,left_shoulder,left_shoulder,left_shoulder,right_shoulder,right_shoulder,right_shoulder,left_elbow,left_elbow,left_elbow,right_elbow,right_elbow,right_elbow,left_wrist,left_wrist,left_wrist,right_wrist,right_wrist,right_wrist,left_hip,left_hip,left_hip,right_hip,right_hip,right_hip,left_knee,left_knee,left_knee,right_knee,right_knee,right_knee,left_ankle,left_ankle,left_ankle,right_ankle,right_ankle,right_ankle
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,1015.1563110351562,199.18853759765625,0.6880783438682556,1011.454345703125,195.10951232910156,0.5594184398651123,1015.4342651367188,194.51617431640625,0.6636888980865479,1001.9301147460938,178.15943908691406,0.38074254989624023,1012.0860595703125,183.00439453125,0.5405714511871338,987.2999877929688,190.70628356933594,0.8738368153572083,1007.7346801757812,193.20376586914062,0.9676046371459961,987.1976318359375,218.03408813476562,0.9883437156677246,1010.2002563476562,213.51353454589844,0.8497838973999023,984.5403442382812,238.42506408691406,0.9940677881240845,1009.3825073242188,237.07540893554688,0.9588912725448608,997.1300048828125,219.4894256591797,0.5183226466178894,1013.7496948242188,216.15269470214844,0.6694360971450806,991.2083740234375,203.08863830566406,0.9223103523254395,1014.7490234375,195.15049743652344,0.8977306485176086,994.7724609375,237.4182891845703,0.8490214347839355,1013.6583251953125,238.74810791015625,0.9333736300468445
1,1019.6073608398438,199.18853759765625,0.8293216228485107,1012.7208862304688,195.10951232910156,0.687857985496521,1015.4342651367188,194.51617431640625,0.794427216053009,1002.910888671875,178.8306884765625,0.4663793742656708,1012.0860595703125,183.00439453125,0.8584031462669373,988.8645629882812,193.97564697265625,0.8414835333824158,1007.7346801757812,193.20376586914062,0.9727813601493835,987.2195434570312,218.03408813476562,0.9838404059410095,1010.2002563476562,213.51353454589844,0.8871733546257019,984.5403442382812,238.5030059814453,0.9948786497116089,1009.3825073242188,237.07540893554688,0.948686420917511,997.4397583007812,219.53280639648438,0.5373437404632568,1014.2634887695312,216.1681365966797,0.6747087240219116,991.3427124023438,203.16851806640625,0.932841420173645,1015.174072265625,195.5455780029297,0.8856261372566223,995.135986328125,237.51068115234375,0.8788732886314392,1013.6583251953125,238.74810791015625,0.9083231091499329
2,1019.7483520507812,199.18853759765625,0.8920568227767944,1012.74072265625,195.10951232910156,0.7920449376106262,1015.5572509765625,194.51617431640625,0.8878278136253357,1004.180908203125,178.84661865234375,0.7027027010917664,1012.127197265625,183.75909423828125,0.9275745749473572,988.8645629882812,193.97564697265625,0.830646812915802,1007.7346801757812,193.43275451660156,0.9592326879501343,987.6666259765625,218.03408813476562,0.9805195927619934,1010.2002563476562,213.6923828125,0.8996403217315674,984.6576538085938,238.7045135498047,0.9959180951118469,1009.5635375976562,237.38287353515625,0.9686143398284912,997.4397583007812,219.59080505371094,0.6844602823257446,1014.2634887695312,216.44952392578125,0.7873373031616211,991.62841796875,203.7284698486328,0.9480621814727783,1015.174072265625,195.98912048339844,0.8474609851837158,995.320556640625,237.54478454589844,0.8525592088699341,1013.6583251953125,238.94900512695312,0.9174338579177856
3,1020.6100463867188,198.66851806640625,0.8803043961524963,1012.9557495117188,195.10951232910156,0.7483119368553162,1016.096923828125,194.51617431640625,0.8506759405136108,1004.2559814453125,183.45591735839844,0.5855085253715515,1012.2333374023438,183.75909423828125,0.8733580112457275,988.8645629882812,193.97564697265625,0.8958788514137268,1007.48388671875,193.43275451660156,0.9661005735397339,987.9744262695312,218.00375366210938,0.9886307716369629,1010.0938110351562,213.7582244873047,0.9155280590057373,984.6576538085938,238.7045135498047,0.9951733946800232,1009.3825073242188,237.52420043945312,0.9356533885002136,997.239990234375,219.67678833007812,0.6257578134536743,1013.7496948242188,216.56251525878906,0.7761769890785217,991.6450805664062,203.7284698486328,0.9430426955223083,1014.7490234375,196.4349365234375,0.8315415978431702,995.43701171875,237.54478454589844,0.8751663565635681,1013.3033447265625,239.30133056640625,0.9346925616264343
4,1021.9614868164062,198.49539184570312,0.9386247992515564,1014.959228515625,195.10951232910156,0.8737086057662964,1016.631103515625,194.51617431640625,0.9193601608276367,1008.0947875976562,184.9617462158203,0.6265648603439331,1013.1211547851562,183.75909423828125,0.9257577061653137,988.8645629882812,192.1155548095703,0.8607985377311707,1007.48388671875,193.44097900390625,0.9748057723045349,989.2285766601562,218.00375366210938,0.9836145043373108,1009.78125,213.94273376464844,0.9178822040557861,984.7584228515625,238.7045135498047,0.993830144405365,1009.5635375976562,237.73036193847656,0.9564164280891418,997.1300048828125,219.70286560058594,0.5864751935005188,1013.380615234375,216.62327575683594,0.6902198195457458,991.62841796875,203.80648803710938,0.922467052936554,1013.7466430664062,197.5371551513672,0.7423430681228638,995.43701171875,237.64337158203125,0.74466472864151,1012.9570922851562,239.30133056640625,0.8983367085456848
5,1022.3573608398438,198.49539184570312,0.9315207600593567,1015.149169921875,195.87353515625,0.8307440280914307,1017.0806274414062,194.8251190185547,0.9059931635856628,1010.7095947265625,189.0372314453125,0.4482058882713318,1013.767333984375,184.8543243408203,0.88923180103302,989.43310546875,192.323486328125,0.8428043723106384,1007.48388671875,193.44097900390625,0.9747046232223511,989.4143676757812,217.9773712158203,0.9803804755210876,1009.78125,214.0980682373047,0.9048987627029419,984.8851318359375,238.53387451171875,0.9930495023727417,1009.6229858398438,237.52420043945312,0.9517450928688049,996.5947265625,219.70286560058594,0.6174474954605103,1013.2940673828125,217.08563232421875,0.7273584604263306,991.62841796875,203.80648803710938,0.9528295993804932,1013.6351928710938,198.21705627441406,0.8005155920982361,995.320556640625,237.64337158203125,0.8321354985237122,1012.6868286132812,239.0963134765625,0.8918938040733337
6,1022.9932250976562,198.66851806640625,0.9724662899971008,1017.8492431640625,195.9901123046875,0.9214314818382263,1018.5403442382812,194.84140014648438,0.9620873332023621,1013.228759765625,190.10842895507812,0.5142852067947388,1016.0096435546875,185.62901306152344,0.8937357068061829,989.9702758789062,192.1155548095703,0.7864680886268616,1007.48388671875,193.44097900390625,0.9836222529411316,989.4143676757812,217.7060546875,0.9743613600730896,1009.7189331054688,214.0980682373047,0.9107731580734253,984.8851318359375,238.5202178955078,0.9898504018783569,1009.6229858398438,237.52420043945312,0.954526424407959,996.5947265625,219.59080505371094,0.690961480140686,1013.2940673828125,217.08563232421875,0.7369904518127441,991.6450805664062,203.6642303466797,0.9375253915786743,1013.1370849609375,198.21705627441406,0.8222916126251221,995.43701171875,237.3746795654297,0.8340830206871033,1012.6868286132812,239.0963134765625,0.9020442962646484
7,1023.8711547851562,198.8348388671875,0.9824947714805603,1018.0978393554688,196.06248474121094,0.9520832896232605,1019.1134033203125,194.96446228027344,0.9772045016288757,1013.4734497070312,190.18089294433594,0.5718264579772949,1016.2659301757812,185.69390869140625,0.8916687965393066,990.2383422851562,192.1155548095703,0.8199772238731384,1007.48388671875,193.44097900390625,0.989474892616272,990.2727661132812,218.00375366210938,0.9732214212417603,1009.7189331054688,213.94273376464844,0.9388840794563293,984.8851318359375,238.5202178955078,0.9906681180000305,1009.1484375,237.73036193847656,0.9548144340515137,995.43701171875,218.88063049316406,0.7158007621765137,1013.380615234375,217.08563232421875,0.8067589998245239,991.6450805664062,201.35450744628906,0.931912362575531,1013.0838012695312,198.21705627441406,0.8408668637275696,995.43701171875,237.3746795654297,0.868980348110199,1012.491943359375,239.0963134765625,0.9182290434837341
