,0,1,2
0,-5.7221365,11.349069,4.643093
1,-5.7317033,11.300148,4.6924343
2,-5.72975,11.3102455,4.683016
3,-5.729255,11.310129,4.6821856
4,-5.7305393,11.304819,4.688092
5,-5.732702,11.296269,4.696571
6,-5.733664,11.288915,4.704094
7,-5.7338924,11.288447,4.704687
8,-5.7345347,11.284619,4.708871
9,-5.735887,11.277137,4.715696
10,-5.73801,11.266941,4.7264576
11,-5.744011,11.229728,4.7618923
12,-5.7432,11.227248,4.7640176
13,-5.745057,11.206955,4.784047
14,-5.7464147,11.195892,4.79509
15,-5.7482524,11.176125,4.81374
16,-5.749663,11.16233,4.8265185
17,-5.7520027,11.138232,4.8514414
18,-5.753276,11.125648,4.8632646
19,-5.7468224,11.222079,4.765788
20,-5.754305,11.108316,4.880025
21,-5.7601533,11.042262,4.9459233
22,-5.7603145,11.035225,4.9536915
23,-5.7611313,11.011356,4.976958
24,-5.762304,11.001486,4.9870543
25,-5.7653604,10.958404,5.031229
26,-5.766006,10.951826,5.037803
27,-5.76769,10.936681,5.0536833
28,-5.767904,10.932859,5.058
29,-5.7686377,10.913304,5.077344
30,-5.7722473,10.8547945,5.13719
31,-5.7762213,10.793264,5.200057
32,-5.7772985,10.773336,5.2216396
33,-5.778547,10.743737,5.2528396
34,-5.777802,10.759305,5.23564
35,-5.771497,10.793039,5.2025337
36,-5.7796474,10.716142,5.282835
37,-5.780446,10.714206,5.283735
38,-5.7811394,10.691369,5.3092346
39,-5.7834864,10.664381,5.340676
40,-5.782212,10.661791,5.3423533
41,-5.7826705,10.652229,5.3531957
42,-5.78367,10.621065,5.3875275
43,-5.7838945,10.621914,5.3869524
44,-5.785338,10.575266,5.4410286
45,-5.7917075,10.324874,5.7311068
46,-5.7986894,10.139783,5.909113
47,-5.7940903,10.094544,5.984322
48,-5.79313,10.107125,5.9840226
49,-5.7861004,10.064276,6.060087
50,-5.7697873,10.012235,6.2026033
51,-5.769369,10.01128,6.2009544
52,-5.766145,9.998807,6.230969
53,-5.76717,10.002382,6.2239246
54,-5.7649765,9.993627,6.2433605
55,-5.753503,9.946944,6.3343024
56,-5.76251,9.98088,6.2696056
57,-5.7606106,9.972909,6.284942
58,-5.7450957,9.905922,6.424136
59,-5.739217,9.879291,6.481645
60,-5.7338576,9.859445,6.519514
61,-5.7333374,9.857948,6.520701
62,-5.7238464,9.826035,6.5846505
63,-5.7257543,9.828596,6.589067
64,-5.7102714,9.788863,6.657901
65,-5.707239,9.775805,6.675783
66,-5.70408,9.766269,6.6926455
67,-5.689394,9.724366,6.7649174
68,-5.682192,9.706391,6.7965636
69,-5.674787,9.687338,6.82709
70,-5.669826,9.675141,6.848567
71,-5.655927,9.642139,6.901279
72,-5.646517,9.620058,6.9373846
73,-5.6329846,9.588046,6.987169
74,-5.6102486,9.537343,7.067917
75,-5.5816507,9.473502,7.16068
76,-5.576636,9.462096,7.1762943
77,-5.528064,9.356303,7.3312516
78,-5.5143037,9.326528,7.374234
79,-5.502368,9.301586,7.410928
80,-5.4951773,9.2867,7.430152
81,-5.485141,9.266522,7.4583435
82,-5.4867415,9.270847,7.448706
83,-5.4730334,9.243021,7.4843616
84,-5.3323894,8.9683075,7.8236227
85,-5.287895,8.887814,7.919034
86,-5.286837,8.881838,7.9235907
87,-5.274277,8.855195,7.9566474
88,-5.2623496,8.836317,7.9758086
89,-5.258961,8.829324,7.982562
90,-5.283642,8.858857,7.9526634
91,-5.2489266,8.81167,7.9987063
92,-5.2334456,8.78486,8.025149
93,-5.2248216,8.7714205,8.036715
94,-5.2074533,8.743194,8.061822
95,-5.20841,8.74474,8.058763
96,-5.1637173,8.670168,8.12089
97,-5.1167197,8.593842,8.184011
98,-5.1046505,8.574636,8.207744
99,-5.0545435,8.49686,8.259195
100,-5.0162125,8.436039,8.300986
101,-4.946491,8.327516,8.381254
102,-4.889568,8.242749,8.436955
103,-4.8644333,8.206714,8.462259
104,-4.8503513,8.182453,8.477418
105,-4.845703,8.174706,8.48093
106,-4.8514147,8.176674,8.476024
107,-4.831765,8.157136,8.495793
108,-4.8186903,8.135963,8.506596
109,-4.8217845,8.141172,8.502782
110,-4.794734,8.103213,8.524809
111,-4.7472363,8.03779,8.560084
112,-4.410369,7.567258,8.798509
113,-4.322614,7.4448857,8.856235
114,-4.295682,7.4112725,8.871657
115,-4.308115,7.4240828,8.859192
116,-4.29893,7.4149714,8.87044
117,-4.2315283,7.337557,8.918769
118,-4.2448153,7.3459206,8.895726
119,-4.231053,7.3277464,8.90117
120,-4.1481633,7.2250566,8.93662
121,-4.1389394,7.2125716,8.940951
122,-4.0804353,7.140384,8.9605255
123,-4.095206,7.1596084,8.9558735
124,-4.0440516,7.0961337,8.972669
125,-3.8488219,6.861758,9.029834
126,-3.7893631,6.7890983,9.048316
127,-3.7736514,6.771004,9.051335
128,-3.779882,6.779031,9.049074
129,-3.7260342,6.7152395,9.061144
130,-3.6663265,6.6473556,9.071721
131,-3.6046495,6.5750494,9.083014
132,-3.5211706,6.4799485,9.093278
133,-3.487339,6.4417224,9.100029
134,-3.4489732,6.398186,9.102695
135,-3.3601913,6.2973323,9.1096735
136,-3.3537219,6.2900395,9.110074
137,-3.2919683,6.2202525,9.112416
138,-3.2551818,6.179554,9.11481
139,-3.2033308,6.1214347,9.1161175
140,-3.1528132,6.0661826,9.114462
141,-3.1427808,6.054912,9.114963
142,-3.1118684,6.021559,9.114165
143,-3.0892892,5.9960575,9.112245
144,-3.075839,5.9811335,9.112812
145,-3.0200214,5.9217877,9.108297
