,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0,0,0,4,0,0,2,0,0,1,0,0,2,0,0,4,0,0,2,0,0,1,0,0,5,0,0,1,0,0,1,0,0,9,2,0,6,0,0,0,4,3,9,0,0,1,6,0,7,0,1,10
1,0,0,4,0,0,2,0,0,1,0,0,2,0,0,4,0,0,2,0,0,1,0,0,5,0,0,1,0,0,0,0,0,9,2,0,6,0,0,0,5,3,9,0,0,1,7,0,7,1,1,9
2,0,0,4,0,0,2,0,0,1,0,0,2,0,0,4,0,0,2,0,0,1,0,0,5,0,0,1,0,0,0,0,0,9,2,0,5,0,0,0,5,3,9,0,0,1,8,0,7,1,1,9
3,0,0,5,0,0,2,0,0,1,0,0,2,0,0,4,0,0,2,0,0,1,0,0,5,0,0,1,0,0,0,0,0,9,2,0,5,0,0,0,5,3,10,0,0,1,9,0,8,2,1,8
4,0,0,5,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,1,0,0,4,0,0,1,0,0,0,0,0,8,2,0,5,0,0,0,4,3,9,0,0,1,8,0,7,2,0,7
5,0,0,6,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,1,0,0,4,0,0,1,0,0,0,0,0,8,2,0,5,0,0,0,3,3,8,0,0,1,7,0,6,2,0,7
6,0,0,6,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,1,0,0,4,0,0,1,0,0,0,0,0,8,2,0,5,0,0,0,2,3,7,0,0,1,6,0,6,2,0,7
7,0,0,7,0,0,2,0,0,1,0,0,2,0,0,3,0,0,3,0,0,1,0,0,4,0,0,1,0,0,1,0,0,8,2,0,5,0,0,0,2,3,7,0,0,1,6,0,7,2,0,7
8,0,0,8,0,0,2,0,0,1,0,0,2,0,0,4,0,0,3,0,0,1,0,0,5,0,0,1,0,0,1,0,0,8,2,0,5,0,0,0,2,3,7,0,0,1,6,0,8,2,0,7
9,0,0,8,0,0,2,0,0,1,0,0,2,0,0,4,0,0,3,0,0,1,0,0,6,0,0,1,0,0,1,0,0,8,2,0,5,0,0,1,2,3,6,0,0,1,6,0,8,2,0,7
10,0,0,8,0,0,2,0,0,1,0,0,2,0,0,4,0,0,3,0,0,0,0,0,6,0,0,1,0,0,1,0,0,7,2,0,5,0,0,2,2,3,6,0,0,1,5,0,8,2,0,7
11,0,0,8,0,0,2,0,0,1,0,0,2,0,0,4,0,0,3,0,0,0,0,0,6,0,0,1,0,0,1,0,0,6,1,0,4,0,0,2,2,3,6,0,0,1,4,0,7,3,0,7
12,0,0,8,0,0,2,0,0,1,0,0,2,0,0,4,0,0,3,0,0,0,0,0,6,0,0,1,0,0,1,0,0,5,0,0,3,0,0,2,2,3,6,0,0,1,4,0,7,3,0,7
13,0,0,8,0,0,2,0,0,1,0,0,1,0,0,4,0,0,3,0,0,1,0,0,6,0,0,1,0,0,1,0,0,4,0,0,3,0,0,2,2,3,6,0,0,1,4,0,7,4,0,7
14,0,0,8,0,0,2,0,0,1,0,0,1,0,0,5,0,0,3,0,0,2,0,0,5,0,0,1,0,0,1,0,0,3,0,0,4,0,0,2,2,3,5,0,0,1,4,0,7,4,0,6
15,0,0,7,0,0,1,0,0,1,0,0,1,0,0,5,0,0,3,0,0,2,0,0,4,0,0,1,0,0,1,0,0,3,0,0,5,0,0,2,2,3,4,0,0,0,4,0,7,4,0,5
16,0,0,7,0,0,0,0,0,1,0,0,0,0,0,5,0,0,3,0,0,2,0,0,5,0,0,1,0,0,1,1,0,3,0,0,5,0,0,2,2,3,5,0,0,0,4,0,8,4,0,4
17,0,0,7,0,0,0,0,0,1,0,0,0,0,0,5,0,0,3,0,0,2,0,0,6,0,0,2,0,0,1,2,0,4,0,0,5,0,0,2,2,4,6,0,0,0,5,0,9,4,0,4
18,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,2,0,0,6,0,0,2,0,0,1,2,0,4,0,0,5,0,0,2,2,4,6,0,0,0,5,0,9,4,0,3
19,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,2,0,0,6,0,0,2,0,0,2,2,0,4,0,0,5,0,0,2,2,5,7,0,0,0,5,0,9,4,0,3
20,0,0,8,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,2,0,0,6,0,0,2,0,0,2,2,0,3,0,0,5,0,0,2,2,5,8,0,0,0,5,0,9,4,0,3
21,0,0,8,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,2,0,0,6,0,0,3,0,0,2,2,0,2,0,0,5,0,0,2,2,5,9,0,0,0,5,0,9,4,0,2
22,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,2,0,0,5,0,0,4,0,0,2,2,0,2,0,0,4,0,0,3,2,5,9,0,0,0,5,0,8,4,0,1
23,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,2,0,0,5,0,0,4,0,0,2,2,0,2,0,0,3,1,0,4,2,5,9,0,0,0,5,0,8,4,0,2
24,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,2,0,0,6,0,0,4,0,0,2,2,0,3,0,0,3,1,0,4,1,4,8,0,0,0,5,0,8,4,0,2
25,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,2,0,0,6,0,0,5,0,0,2,2,0,3,0,0,2,1,0,4,0,3,7,0,0,0,5,0,8,4,0,1
26,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,2,0,0,6,0,0,5,0,0,2,2,0,3,0,0,2,1,0,4,0,2,7,0,0,0,5,0,8,4,0,1
