,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
44,16,20,21,15,21,13,19,13,16,17,17,14,19,22,19,16,20,15,20,15,16,12,17,16,14,20,14,15,13,12,13,13,17,19
45,17,20,20,15,22,13,18,13,16,17,18,14,19,22,19,17,20,16,20,15,16,12,17,16,14,19,13,15,13,13,12,14,16,19
46,17,20,19,15,21,14,19,13,16,18,17,14,19,21,19,17,20,16,19,15,17,11,16,17,13,19,14,14,12,14,13,14,16,18
47,17,20,19,16,22,14,19,14,17,18,18,14,18,21,19,18,19,15,18,16,17,11,16,16,14,18,14,13,12,14,13,14,17,19
48,18,21,19,16,21,14,19,14,17,17,19,15,18,21,19,18,19,16,19,17,18,12,17,16,14,18,14,13,11,13,13,15,18,20
49,19,21,20,17,21,14,19,15,16,18,19,14,18,21,19,17,18,16,18,17,17,13,18,17,14,17,13,13,12,14,12,15,17,20
50,19,22,21,17,21,13,19,15,16,19,19,14,18,21,19,17,19,16,18,17,16,14,17,17,14,16,14,13,12,15,13,15,17,20
51,18,21,20,17,20,14,20,15,16,19,19,13,17,21,19,18,19,15,18,16,17,14,16,16,13,16,14,13,11,16,13,16,17,20
52,19,22,20,16,20,14,20,16,16,18,18,13,16,21,19,18,19,14,18,16,16,15,17,17,13,16,15,13,12,16,13,17,16,20
53,20,22,21,15,20,15,21,16,16,18,19,13,16,21,19,18,20,13,18,16,15,16,17,16,12,15,16,13,13,17,13,18,16,20
54,20,22,20,15,20,14,21,16,16,17,18,14,16,22,19,18,20,13,19,16,15,17,17,16,11,15,15,14,14,17,13,18,16,20
55,20,22,21,16,20,15,22,15,17,18,19,14,16,22,19,17,21,14,18,17,15,17,16,17,11,15,16,13,14,18,14,18,17,19
56,20,22,20,16,20,15,22,15,17,18,18,14,16,23,20,17,20,14,18,17,14,16,16,17,10,15,16,12,14,18,14,18,17,20
57,20,22,19,17,20,16,22,14,17,18,18,14,16,24,19,17,19,13,18,17,13,16,15,16,10,15,15,13,14,18,14,18,17,20
58,21,21,19,17,20,15,23,14,16,18,18,14,16,24,19,17,19,13,18,16,12,16,14,15,10,15,14,13,14,19,14,19,17,19
59,21,21,19,17,20,16,23,15,16,18,18,14,16,24,18,17,19,14,18,15,12,17,15,15,11,16,14,13,14,19,14,18,17,20
60,21,20,18,18,19,17,22,16,15,18,18,15,17,24,18,17,20,14,19,16,12,17,14,16,12,16,15,13,15,18,13,18,17,20
61,22,20,18,18,19,17,23,16,16,17,18,14,18,24,19,16,19,15,19,15,13,17,15,17,13,15,14,12,14,18,14,19,16,20
62,23,20,17,18,19,18,22,15,16,16,18,13,18,23,19,16,18,16,19,16,13,16,16,16,12,15,14,12,13,19,13,20,15,19
63,24,19,17,17,20,18,22,15,17,17,17,13,17,23,19,16,18,17,19,15,13,16,16,16,13,15,14,13,12,20,13,21,16,18
64,24,18,17,16,19,18,23,16,18,17,16,14,16,22,18,15,18,16,19,15,14,15,15,16,13,16,14,13,13,20,14,21,15,17
65,24,18,17,15,19,18,24,15,19,17,17,15,17,22,18,15,18,17,18,14,14,15,14,16,13,16,14,14,14,19,13,22,14,17
66,24,18,17,16,18,17,23,15,18,18,16,16,16,22,19,14,17,17,19,15,15,16,15,17,14,16,15,13,15,19,13,22,13,16
67,24,18,16,17,19,16,23,14,19,17,17,17,15,22,19,15,18,17,20,15,16,16,15,16,15,16,15,13,16,18,14,22,13,16
68,23,18,15,18,18,17,22,15,19,18,18,16,14,21,19,14,17,16,20,15,15,16,16,16,16,16,15,13,16,17,14,23,14,17
69,23,19,15,19,18,17,21,15,19,17,18,16,15,21,20,15,17,16,19,15,15,16,15,16,17,16,15,13,16,16,15,22,14,16
70,22,18,14,20,19,17,21,15,20,17,18,16,15,21,21,14,17,16,19,14,15,15,15,16,16,15,16,14,15,17,14,22,14,15
71,22,18,14,19,19,17,21,16,21,17,18,15,15,21,20,14,17,16,18,15,15,16,16,17,16,15,17,15,14,17,15,21,14,15
72,21,18,15,20,19,17,20,15,20,17,18,14,16,21,21,15,18,16,19,15,15,16,16,16,16,14,17,16,14,18,15,20,15,14
73,21,18,15,20,18,16,20,15,20,16,17,13,16,22,22,15,19,15,19,16,14,17,16,17,16,14,17,17,14,17,16,20,15,13
74,20,17,15,20,17,17,20,15,20,17,17,13,17,22,22,15,19,14,18,17,13,18,17,17,17,14,18,18,13,17,15,20,15,13
75,19,17,14,21,18,17,19,15,20,17,18,13,18,22,22,15,19,14,18,17,12,18,18,17,17,14,18,18,13,17,15,20,15,14
76,20,17,13,20,18,17,19,15,20,17,17,13,18,21,22,15,19,14,18,16,11,18,18,17,16,15,18,18,12,17,15,20,14,14
77,19,17,13,20,18,16,19,15,20,18,17,13,18,20,22,15,18,15,18,16,10,17,18,16,16,15,19,19,12,18,14,20,14,14
78,19,18,13,19,18,16,19,14,21,18,17,13,18,21,22,16,18,14,18,17,10,17,19,15,16,15,20,19,11,18,14,19,15,15
79,18,17,13,19,18,17,19,13,20,18,16,13,19,21,22,16,18,15,18,16,10,17,20,15,15,16,20,19,11,18,14,19,14,16
80,19,18,14,20,19,17,18,13,21,17,15,14,18,20,21,16,17,16,18,17,11,18,19,15,15,15,21,19,12,18,15,18,14,15
81,18,18,14,20,19,18,17,13,20,18,16,14,19,20,21,16,17,16,17,18,12,18,19,14,16,15,21,19,12,18,15,18,14,15
82,18,17,13,20,19,18,17,13,20,18,17,13,19,20,22,17,16,17,17,18,12,18,20,15,16,15,20,18,12,17,15,18,13,16
83,18,16,14,20,18,19,17,13,20,18,17,13,19,19,22,17,16,16,17,17,12,18,19,15,16,15,21,19,12,18,15,18,12,17
84,18,16,14,19,17,18,17,14,20,18,17,14,19,18,22,18,16,15,18,17,13,19,19,15,16,15,20,19,13,17,15,18,12,16
85,17,15,15,18,16,18,17,15,20,18,17,14,19,18,22,18,17,15,18,16,14,19,19,14,17,14,21,18,12,16,15,17,12,16
86,17,16,16,18,15,17,17,14,20,18,17,13,19,18,23,18,17,15,17,16,13,18,19,15,17,13,22,18,11,15,15,18,12,16
87,17,16,16,18,15,18,17,14,21,18,17,13,19,18,22,17,17,15,16,17,13,19,20,15,17,12,22,18,10,14,15,17,12,17
88,16,15,16,17,14,18,18,13,20,18,17,13,18,17,23,17,17,15,16,17,13,18,20,14,17,11,23,18,10,13,15,17,12,17
89,15,15,17,17,15,18,18,13,20,19,17,13,18,17,22,18,18,15,16,16,14,18,19,13,17,11,24,17,11,13,16,17,13,17
90,15,15,17,17,14,17,18,14,19,19,18,14,18,17,21,19,18,15,16,17,14,18,19,13,17,11,24,18,12,13,15,17,12,18
91,15,15,17,17,14,16,19,15,19,20,18,15,18,17,20,19,18,15,16,17,14,19,19,14,18,12,24,17,12,13,16,16,13,19
92,14,16,17,18,15,16,19,15,18,19,18,16,19,17,20,19,17,15,15,18,14,19,19,14,18,13,24,18,13,13,16,16,14,20
93,14,16,16,18,15,16,18,15,18,19,19,16,20,17,20,20,18,16,14,17,14,20,19,13,19,13,25,18,13,13,15,16,14,19
94,14,15,16,19,15,15,18,15,18,18,19,15,20,17,20,20,17,16,15,17,14,19,19,13,20,14,26,18,13,13,16,16,14,18
95,14,15,16,18,15,16,19,15,19,18,20,15,21,17,20,20,18,16,15,17,14,18,19,13,19,15,26,18,12,14,15,16,14,19
96,13,15,17,18,14,16,19,16,18,19,20,16,22,16,19,20,19,17,15,18,14,18,19,13,18,15,26,18,13,14,14,16,15,20
97,14,15,18,17,14,16,19,16,18,19,19,17,22,17,19,21,19,16,15,18,14,18,19,13,18,14,26,18,14,13,14,17,15,21
98,14,14,18,17,15,15,19,16,17,19,19,18,22,16,19,22,19,16,16,18,14,18,20,13,18,15,26,19,15,14,14,16,15,22
